Cumulative_Ah,Pure_Cycle_Loss_Percent,SOH_Stripped_Calendar
2.9406204,0.0,96.2
5.879677,0.0,96.2
833.33624,3.460410750265191,92.7395892497348
836.15344,3.4535814259255573,92.74641857407444
1293.1737,5.201916046609829,90.99808395339018
1295.9392,5.195753622340791,91.00424637765921
1683.83,6.261640667095331,89.93835933290467
1686.5605,6.255910756789568,89.94408924321044
2069.3345,7.239726252908407,88.96027374709159
2072.0337,7.2343082463267985,88.9656917536732
2449.9685,7.813761274167799,88.3862387258322
2452.6504,7.808592165043004,88.391407834957
2827.438,8.801392575672203,87.39860742432779
2830.0837,8.796453533354772,87.40354646664522
3200.0972,9.480299918005738,86.71970008199426
3202.7202,9.475555223111767,86.72444477688823
3569.409,10.174788799071248,86.02521120092875
3572.01,10.170200268625765,86.02979973137424
3935.4592,10.770422990892484,85.42957700910752
3938.0408,10.765973071481287,85.43402692851872
4298.573,10.957413203432614,85.2425867965674
4301.143,10.953170683463567,85.24682931653643
4665.2383,11.446623732796052,84.75337626720395
5021.3574,11.95653353902209,84.24346646097791
5023.8916,11.952495600299544,84.24750439970046
5377.4824,12.42112379310782,83.77887620689218
5380.0015,12.417197561101984,83.78280243889802
5731.143,12.830512142231159,83.36948785776885
5733.6465,12.826663818146992,83.373336181853
6085.1206,13.134326388705981,83.06567361129402
6432.104,13.550027437746973,82.64997256225303
6434.5796,13.546320083412592,82.65367991658741
6779.4946,13.8959474715775,82.3040525284225
6781.956,13.892336803620974,82.30766319637902
7124.6455,14.210826087088712,81.9891739129113
7127.0933,14.207275154315196,81.9927248456848
7468.1167,14.51788151886796,81.68211848113205
7470.5527,14.514386533447684,81.68561346655233
7809.8506,14.834718107899688,81.36528189210031
7812.2744,14.831275631738524,81.36872436826148
8149.8525,15.150727204736187,81.04927279526382
8152.2656,15.147333059938603,81.0526669400614
8488.221,15.469254606784133,80.73074539321587
8490.622,15.465907373734893,80.73409262626511
8824.963,15.671055852875721,80.52894414712428
8827.354,15.6677580789018,80.5322419210982
